horizon,return_specification,peer_definition,direction,total_events,valid_horizons,invalid_horizons,missing_reasons
1,semiconductor_adjusted_return,economic_subsector_peers,all,242,226,16,missing_initiator_observation;missing_peer_observation
1,semiconductor_adjusted_return,economic_subsector_peers,negative,102,94,8,missing_initiator_observation;missing_peer_observation
1,semiconductor_adjusted_return,economic_subsector_peers,positive,140,132,8,missing_initiator_observation;missing_peer_observation
3,semiconductor_adjusted_return,economic_subsector_peers,all,242,196,46,missing_initiator_observation;missing_peer_observation
3,semiconductor_adjusted_return,economic_subsector_peers,negative,102,78,24,missing_initiator_observation;missing_peer_observation
3,semiconductor_adjusted_return,economic_subsector_peers,positive,140,118,22,missing_initiator_observation;missing_peer_observation
5,semiconductor_adjusted_return,economic_subsector_peers,all,242,173,69,missing_initiator_observation;missing_peer_observation
5,semiconductor_adjusted_return,economic_subsector_peers,negative,102,68,34,missing_initiator_observation;missing_peer_observation
5,semiconductor_adjusted_return,economic_subsector_peers,positive,140,105,35,missing_initiator_observation;missing_peer_observation
10,semiconductor_adjusted_return,economic_subsector_peers,all,242,114,128,missing_initiator_observation;missing_peer_observation
10,semiconductor_adjusted_return,economic_subsector_peers,negative,102,52,50,missing_initiator_observation;missing_peer_observation
10,semiconductor_adjusted_return,economic_subsector_peers,positive,140,62,78,missing_initiator_observation;missing_peer_observation
