date,event_count,subsector_count,many_simultaneous_shocks_flag
2023-05-25,5,3,True
2024-12-03,5,2,True
2025-01-27,4,3,True
2025-04-09,4,1,True
2020-03-13,3,1,True
2024-02-05,3,3,True
2024-05-30,3,1,True
2024-07-31,3,2,True
2025-04-07,3,1,True
2015-10-21,2,1,False
2016-09-29,2,1,False
2017-04-19,2,1,False
2020-02-28,2,2,False
2022-11-10,2,2,False
2023-04-27,2,2,False
2023-06-01,2,1,False
2023-12-01,2,1,False
2024-02-29,2,1,False
2024-05-23,2,2,False
2024-07-17,2,1,False
2024-07-25,2,1,False
2024-10-15,2,1,False
2024-10-30,2,2,False
2024-11-05,2,1,False
2025-06-03,2,2,False
2025-08-01,2,2,False
2025-08-04,2,1,False
2025-08-29,2,1,False
2025-09-24,2,1,False
2025-10-06,2,1,False
2025-10-23,2,1,False
2025-11-10,2,1,False
2015-04-21,1,1,False
2015-04-23,1,1,False
2015-04-27,1,1,False
2015-04-30,1,1,False
2015-07-30,1,1,False
2015-09-09,1,1,False
2015-09-10,1,1,False
2015-10-14,1,1,False
2015-10-22,1,1,False
2015-10-29,1,1,False
2015-11-18,1,1,False
2015-11-24,1,1,False
2016-01-20,1,1,False
2016-01-27,1,1,False
2016-02-04,1,1,False
2016-02-19,1,1,False
2016-04-27,1,1,False
2016-05-20,1,1,False
2016-06-27,1,1,False
2016-07-27,1,1,False
2016-08-09,1,1,False
2016-08-10,1,1,False
2016-08-19,1,1,False
2016-09-16,1,1,False
2016-10-27,1,1,False
2016-12-02,1,1,False
2017-01-26,1,1,False
2017-02-08,1,1,False
2017-08-07,1,1,False
2017-10-26,1,1,False
2017-11-01,1,1,False
2018-01-24,1,1,False
2018-02-07,1,1,False
2018-02-09,1,1,False
2018-05-03,1,1,False
2018-05-14,1,1,False
2018-05-18,1,1,False
2018-07-25,1,1,False
2018-07-27,1,1,False
2018-08-10,1,1,False
2018-08-17,1,1,False
2018-09-06,1,1,False
2018-09-13,1,1,False
2018-10-24,1,1,False
2018-10-25,1,1,False
2018-11-01,1,1,False
2018-11-08,1,1,False
2019-01-03,1,1,False
2019-01-24,1,1,False
2019-03-07,1,1,False
2019-04-30,1,1,False
2019-05-14,1,1,False
2019-05-20,1,1,False
2019-07-17,1,1,False
2019-08-05,1,1,False
2019-08-06,1,1,False
2019-10-09,1,1,False
2019-10-23,1,1,False
2019-10-24,1,1,False
2019-10-29,1,1,False
2019-11-15,1,1,False
2020-01-23,1,1,False
2020-01-30,1,1,False
2020-02-03,1,1,False
2020-02-05,1,1,False
2020-03-10,1,1,False
2020-03-16,1,1,False
2020-03-19,1,1,False
2020-03-23,1,1,False
2020-03-26,1,1,False
2020-05-05,1,1,False
2020-07-13,1,1,False
2020-07-29,1,1,False
2020-08-05,1,1,False
2020-09-04,1,1,False
2020-09-08,1,1,False
2020-10-08,1,1,False
2020-11-09,1,1,False
2020-12-09,1,1,False
2021-02-25,1,1,False
2021-02-26,1,1,False
2021-03-05,1,1,False
2021-03-15,1,1,False
2021-07-30,1,1,False
2021-08-02,1,1,False
2021-11-01,1,1,False
2021-11-19,1,1,False
2021-12-06,1,1,False
2022-01-18,1,1,False
2022-01-24,1,1,False
2022-02-07,1,1,False
2022-02-15,1,1,False
2022-05-03,1,1,False
2022-06-02,1,1,False
2022-06-09,1,1,False
2022-07-07,1,1,False
2022-08-02,1,1,False
2022-10-20,1,1,False
2022-10-27,1,1,False
2023-01-26,1,1,False
2023-01-27,1,1,False
2023-02-09,1,1,False
2023-02-14,1,1,False
2023-02-15,1,1,False
2023-04-20,1,1,False
2023-05-05,1,1,False
2023-05-09,1,1,False
2023-07-26,1,1,False
2023-08-04,1,1,False
2023-08-16,1,1,False
2023-08-24,1,1,False
2023-10-30,1,1,False
2023-11-01,1,1,False
2023-11-16,1,1,False
2023-11-22,1,1,False
2023-12-07,1,1,False
2023-12-13,1,1,False
2024-01-16,1,1,False
2024-01-18,1,1,False
2024-01-24,1,1,False
2024-02-14,1,1,False
2024-02-16,1,1,False
2024-02-22,1,1,False
2024-03-08,1,1,False
2024-04-24,1,1,False
2024-05-02,1,1,False
2024-05-07,1,1,False
2024-05-22,1,1,False
2024-06-05,1,1,False
2024-06-10,1,1,False
2024-07-24,1,1,False
2024-08-01,1,1,False
2024-08-30,1,1,False
2024-09-05,1,1,False
2024-10-10,1,1,False
2024-10-17,1,1,False
2024-10-31,1,1,False
2024-11-11,1,1,False
2024-11-12,1,1,False
2024-11-15,1,1,False
2024-12-13,1,1,False
2025-01-06,1,1,False
2025-02-10,1,1,False
2025-02-11,1,1,False
2025-02-14,1,1,False
2025-03-05,1,1,False
2025-03-10,1,1,False
2025-03-31,1,1,False
2025-04-03,1,1,False
2025-04-29,1,1,False
2025-05-07,1,1,False
2025-05-09,1,1,False
2025-07-08,1,1,False
2025-07-16,1,1,False
2025-07-23,1,1,False
2025-08-06,1,1,False
2025-08-08,1,1,False
2025-08-15,1,1,False
2025-08-20,1,1,False
2025-09-26,1,1,False
2025-10-31,1,1,False
2025-11-05,1,1,False
2025-12-02,1,1,False
