relative_day,outcome,mean,ci_lower,ci_upper,sample_size
-5,initiator_car,0.0002907217445203994,-0.0023966550259562373,0.0029780985149970357,228
-5,peer_car,0.00036690941488285876,-0.0015649524097362411,0.002298771239501959,228
-5,convergence,7.618767036245953e-05,-0.002651644773666735,0.0028040201143916545,228
-4,initiator_car,-0.0003790191382787061,-0.0036685595104054797,0.0029105212338480673,217
-4,peer_car,-8.603194157770775e-06,-0.0032461186346477828,0.003228912246332241,217
-4,convergence,0.00037041594412093586,-0.0028415018362847808,0.0035823337245266523,217
-3,initiator_car,0.0015358159387894286,-0.0023965944327806405,0.005468226310359497,191
-3,peer_car,-0.0008510763435147732,-0.003607265915347015,0.0019051132283174686,191
-3,convergence,-0.002386892282304202,-0.006342423650048619,0.0015686390854402145,191
-2,initiator_car,0.0027572522316997943,-0.0016804157541579277,0.007194920217557516,179
-2,peer_car,-0.0009924213307834363,-0.003981592510434405,0.0019967498488675317,179
-2,convergence,-0.0037496735624832312,-0.008139125820437056,0.0006397786954705931,179
-1,initiator_car,-0.0014741126818082302,-0.006691097464119398,0.003742872100502938,170
-1,peer_car,-9.796080348457385e-05,-0.0036908109843295273,0.0034948893773603796,170
-1,convergence,0.001376151878323657,-0.003713584902759414,0.0064658886594067275,170
0,initiator_car,0.07472420580994082,0.06746908117345712,0.08197933044642453,170
0,peer_car,-0.006203164657597744,-0.010773785490467494,-0.0016325438247279953,170
0,convergence,-0.08092737046753856,-0.08765312385072964,-0.07420161708434748,170
1,initiator_car,0.07179121363216025,0.06091518293161338,0.08266724433270711,158
1,peer_car,-0.004429829611750049,-0.010608301231594546,0.0017486420080944478,158
1,convergence,-0.07622104324391028,-0.08642016087695788,-0.06602192561086269,158
2,initiator_car,0.07589768763535266,0.06515500438028239,0.08664037089042294,142
2,peer_car,-0.00710901404121905,-0.012836006472266355,-0.0013820216101717462,142
2,convergence,-0.08300670167657169,-0.09372395173501924,-0.07228945161812414,142
3,initiator_car,0.07477023970114367,0.06321027377622074,0.08633020562606661,133
3,peer_car,-0.005817282203618109,-0.012211336627193772,0.0005767722199575545,133
3,convergence,-0.08058752190476177,-0.09213953413245161,-0.06903550967707194,133
4,initiator_car,0.0723749147652118,0.06045243779656297,0.08429739173386062,125
4,peer_car,-0.00805805006806879,-0.015034778175265169,-0.0010813219608724117,125
4,convergence,-0.08043296483328059,-0.09222810363403283,-0.06863782603252835,125
5,initiator_car,0.07574013479756593,0.06319169230848176,0.0882885772866501,112
5,peer_car,-0.00722018354889506,-0.01530490452191927,0.0008645374241291479,112
5,convergence,-0.08296031834646099,-0.0957273169556192,-0.07019331973730278,112
6,initiator_car,0.07624028621973605,0.06167399583955241,0.0908065765999197,105
6,peer_car,-0.006665556224060489,-0.015422220841249116,0.002091108393128138,105
6,convergence,-0.08290584244379655,-0.09740496303691075,-0.06840672185068235,105
7,initiator_car,0.07940571735945692,0.06313063531226099,0.09568079940665286,92
7,peer_car,-0.00793188549984693,-0.01780639097593987,0.001942619976246009,92
7,convergence,-0.08733760285930388,-0.10453593001905363,-0.07013927569955412,92
8,initiator_car,0.080958891647102,0.0636441705181833,0.0982736127760207,81
8,peer_car,-0.00772974603499367,-0.018758349037131257,0.0032988569671439146,81
8,convergence,-0.08868863768209567,-0.10652292970254663,-0.07085434566164471,81
9,initiator_car,0.0855591965134182,0.06682633522634594,0.10429205780049046,73
9,peer_car,-0.0072630036285415206,-0.01916939732644899,0.00464339006936595,73
9,convergence,-0.09282220014195972,-0.11277429343911274,-0.07287010684480669,73
10,initiator_car,0.08363026805268194,0.0633255110997159,0.10393502500564797,66
10,peer_car,-0.008460217598579237,-0.021437478826044763,0.004517043628886287,66
10,convergence,-0.0920904856512612,-0.11468517164223102,-0.06949579966029137,66
