security_id,ticker,company_name,subsector,universe_tier,ever_baseline_eligible,eligible,exclusion_reason,baseline_exclusion_reason
SEC_002371_SZ,002371.SZ,NAURA Technology Group Co. Ltd.,semiconductor_equipment,extension,False,False,universe_tier_not_allowed,universe_tier_not_allowed
SEC_0981_HK,0981.HK,Semiconductor Manufacturing International Corporation,foundry,extension,False,False,universe_tier_not_allowed,universe_tier_not_allowed
SEC_1347_HK,1347.HK,Hua Hong Semiconductor Limited,foundry,extension,False,False,universe_tier_not_allowed,universe_tier_not_allowed
SEC_3436_T,3436.T,SUMCO Corporation,semiconductor_materials,extension,False,False,universe_tier_not_allowed;missing_data;no_market_data,universe_tier_not_allowed
SEC_3443_TW,3443.TW,Global Unichip Corporation,fabless_compute,extension,False,False,universe_tier_not_allowed,universe_tier_not_allowed
SEC_4063_T,4063.T,Shin-Etsu Chemical Co. Ltd.,semiconductor_materials,extension,False,False,universe_tier_not_allowed;missing_data;no_market_data,universe_tier_not_allowed
SEC_603986_SS,603986.SS,GigaDevice Semiconductor Inc.,memory,extension,False,False,universe_tier_not_allowed,universe_tier_not_allowed
SEC_688012_SS,688012.SS,Advanced Micro-Fabrication Equipment Inc. China,semiconductor_equipment,extension,False,False,universe_tier_not_allowed,universe_tier_not_allowed
SEC_688256_SS,688256.SS,Cambricon Technologies Corporation Limited,fabless_compute,extension,False,False,universe_tier_not_allowed,universe_tier_not_allowed
SEC_688825_SS,688825.SS,CXMT Corporation,memory,extension,False,False,universe_tier_not_allowed;missing_data;no_market_data,universe_tier_not_allowed;insufficient_history
SEC_6963_T,6963.T,ROHM Co. Ltd.,analog_mixed_signal,extension,False,False,universe_tier_not_allowed;missing_data;no_market_data,universe_tier_not_allowed
SEC_CBRS,CBRS,Cerebras Systems Inc.,fabless_compute,extension,False,False,universe_tier_not_allowed;missing_data;no_market_data,universe_tier_not_allowed;insufficient_history
SEC_COHR,COHR,Coherent Corp.,semiconductor_materials,extension,False,False,universe_tier_not_allowed,universe_tier_not_allowed
SEC_ENTG,ENTG,Entegris Inc.,semiconductor_materials,extension,False,False,universe_tier_not_allowed,universe_tier_not_allowed
SEC_FORM,FORM,FormFactor Inc.,packaging_testing,extension,False,False,universe_tier_not_allowed,universe_tier_not_allowed
SEC_Q,Q,Qnity Electronics Inc.,semiconductor_materials,extension,False,False,universe_tier_not_allowed;insufficient_history,universe_tier_not_allowed;insufficient_history
SEC_SOI_PA,SOI.PA,Soitec S.A.,semiconductor_materials,extension,False,False,universe_tier_not_allowed,universe_tier_not_allowed
SEC_TPRO_MI,TPRO.MI,Technoprobe S.p.A.,packaging_testing,extension,False,False,universe_tier_not_allowed;missing_data;no_market_data,universe_tier_not_allowed
