horizon,return_specification,peer_definition,direction,outcome,sample_size,missing_outcome_count,mean,median,standard_deviation,trimmed_mean,standard_error,bootstrap_standard_error,ci_lower,ci_upper,confidence_level,interval_method,p_value,proportion_positive
1,semiconductor_adjusted_return,economic_subsector_peers,all,convergence,226,0,0.0053963111301805365,0.002442522587469475,0.03989200465266016,0.0028054561832164915,0.0033563704218071413,,-0.001604954885193471,0.012397577145554544,0.95,analytical,0.06177791896745771,0.5398230088495575
1,semiconductor_adjusted_return,economic_subsector_peers,all,peer_catchup,226,0,0.0026150612839820784,0.000272013731849055,0.01856735789016587,0.0015732985138802746,0.0013843216293158622,,-0.0002725830340303357,0.0055027056019944925,0.95,analytical,0.07347250598120467,0.5176991150442478
1,semiconductor_adjusted_return,economic_subsector_peers,all,initiator_reversal,226,0,0.0027812498461984568,0.0025580787799749246,0.03736226944632892,0.0006763322553331044,0.003058869626094905,,-0.0035994403837873172,0.009161940076184231,0.95,analytical,0.3740503269339941,0.5353982300884956
1,semiconductor_adjusted_return,economic_subsector_peers,negative,convergence,94,0,0.008059544112549851,0.0026091246006435575,0.0444038436909973,0.0037040318282053493,0.005944803558418379,,-0.004383072733951925,0.020502160959051628,0.95,analytical,0.09554099148372913,0.5531914893617021
1,semiconductor_adjusted_return,economic_subsector_peers,negative,peer_catchup,94,0,0.0018474534506845188,0.0007141218931567654,0.017556525842863272,0.0022777489585437106,0.0016021205637943591,,-0.0015058234273992762,0.0052007303287683136,0.95,analytical,0.263158078024417,0.5106382978723404
1,semiconductor_adjusted_return,economic_subsector_peers,negative,initiator_reversal,94,0,0.006212090661865333,0.005633519502658165,0.04603119398201812,0.0016661033957447505,0.006213215683146657,,-0.006792319218187572,0.019216500541918237,0.95,analytical,0.3299621793124974,0.574468085106383
1,semiconductor_adjusted_return,economic_subsector_peers,positive,convergence,132,0,0.0034997664306145085,0.0017129011394793059,0.03639782009247915,0.002166456348762478,0.0037349221610854595,,-0.004317515493880021,0.011317048355109039,0.95,analytical,0.18024886768595208,0.5303030303030303
1,semiconductor_adjusted_return,economic_subsector_peers,positive,peer_catchup,132,0,0.003161691104663674,0.0001834658010258381,0.01930226769759715,0.0010682208365744145,0.0019384214388427157,,-0.0008954715944148942,0.007218853803742242,0.95,analytical,0.11934168636714959,0.5227272727272727
1,semiconductor_adjusted_return,economic_subsector_peers,positive,initiator_reversal,132,0,0.00033807532595083345,0.0005173028940724175,0.0296463847155661,-2.3816797598908378e-05,0.0025548667697502868,,-0.0050093222789449705,0.005685472930846637,0.95,analytical,0.8961177426600644,0.5075757575757576
3,semiconductor_adjusted_return,economic_subsector_peers,all,convergence,196,0,0.0020598446295170703,0.001204447007449717,0.04514365151678351,0.0019694745645293175,0.0034822013842713616,,-0.0052284866300568,0.00934817588909094,0.95,analytical,0.2805673800520917,0.5153061224489796
