dimension,label,event_count,event_share_within_equipment,sample_label
company,6146.T,1,0.016129032258064516,small_sample_descriptive_only
company,AMAT,18,0.2903225806451613,small_sample_descriptive_only
company,ASML,12,0.1935483870967742,small_sample_descriptive_only
company,KLAC,16,0.25806451612903225,small_sample_descriptive_only
company,LRCX,15,0.24193548387096775,small_sample_descriptive_only
year,2015,5,0.08064516129032258,small_sample_descriptive_only
year,2016,6,0.0967741935483871,small_sample_descriptive_only
year,2017,3,0.04838709677419355,small_sample_descriptive_only
year,2018,6,0.0967741935483871,small_sample_descriptive_only
year,2019,5,0.08064516129032258,small_sample_descriptive_only
year,2020,9,0.14516129032258066,small_sample_descriptive_only
year,2021,3,0.04838709677419355,small_sample_descriptive_only
year,2022,4,0.06451612903225806,small_sample_descriptive_only
year,2023,4,0.06451612903225806,small_sample_descriptive_only
year,2024,9,0.14516129032258066,small_sample_descriptive_only
year,2025,8,0.12903225806451613,small_sample_descriptive_only
