comparison_type,peer_definition,horizon,outcome,event_count,sample_size,mean,median,ci_lower,ci_upper,bootstrap_replications,sample_label
peer_definition_level,broad_semiconductor_peers,1,peer_car,208,208,-9.6054345353445e-05,-1.1735743718546785e-05,-0.00030426616754590416,0.00011215747683901413,0,adequate_analysis_sample
peer_definition_level,broad_semiconductor_peers,1,peer_catchup,208,208,6.353120448181516e-05,2.9675854808599626e-05,-0.00014491451531912114,0.00027197692428275146,0,adequate_analysis_sample
peer_definition_level,broad_semiconductor_peers,1,convergence,208,208,0.0035733973113650955,0.002647416137234462,-0.0018564065580317268,0.009003201180761918,0,adequate_analysis_sample
peer_definition_level,broad_semiconductor_peers,5,peer_car,131,131,-7.110216719249729e-05,8.977644515439172e-05,-0.0004511568617445194,0.00030895252735952484,0,adequate_analysis_sample
peer_definition_level,broad_semiconductor_peers,5,peer_catchup,131,131,8.907959183402387e-05,1.4932787241850429e-05,-0.0002908610236735281,0.0004690202073415759,0,adequate_analysis_sample
peer_definition_level,broad_semiconductor_peers,5,convergence,131,131,0.0029328562364458323,0.0002634945561525721,-0.0051190698378833655,0.010984782310775031,0,adequate_analysis_sample
peer_definition_level,broad_semiconductor_peers,10,peer_car,62,62,4.5973358621825156e-05,0.0005455594907813533,-0.0007336338212327939,0.0008255805384764443,0,adequate_analysis_sample
peer_definition_level,broad_semiconductor_peers,10,peer_catchup,62,62,-0.0002997585708845378,-0.00022176074741486537,-0.00107566833980559,0.00047615119803651445,0,adequate_analysis_sample
peer_definition_level,broad_semiconductor_peers,10,convergence,62,62,-0.003997305605516566,-0.007587510164569951,-0.019489703368937336,0.011495092157904205,0,adequate_analysis_sample
peer_definition_level,economic_subsector_peers,1,peer_car,208,208,0.0013192275041140529,0.00012391067480736935,-0.0012808874751569072,0.003919342483385013,0,adequate_analysis_sample
peer_definition_level,economic_subsector_peers,1,peer_catchup,208,208,0.0030571829167291126,0.000968072395744772,0.0004846778531090584,0.005629687980349167,0,adequate_analysis_sample
peer_definition_level,economic_subsector_peers,1,convergence,208,208,0.006567049023612392,0.0039353811792571846,0.0009513407894421524,0.012182757257782631,0,adequate_analysis_sample
peer_definition_level,economic_subsector_peers,5,peer_car,131,131,0.0006909825472207694,-0.0006751392665794581,-0.0038365040754125748,0.005218469169854113,0,adequate_analysis_sample
peer_definition_level,economic_subsector_peers,5,peer_catchup,131,131,0.0034063600141645395,-0.0009148276990219072,-0.001083981057584327,0.007896701085913406,0,adequate_analysis_sample
peer_definition_level,economic_subsector_peers,5,convergence,131,131,0.006250136658776347,0.0029902737643925387,-0.00241783971736373,0.014918113034916424,0,adequate_analysis_sample
peer_definition_level,economic_subsector_peers,10,peer_car,62,62,0.005800646494107661,0.0011338910551784319,-0.003884200013812846,0.015485493002028167,0,adequate_analysis_sample
peer_definition_level,economic_subsector_peers,10,peer_catchup,62,62,0.00941746375046593,0.007464287580305803,-7.92912908968782e-05,0.018914218791828738,0,adequate_analysis_sample
peer_definition_level,economic_subsector_peers,10,convergence,62,62,0.005719916715833902,0.0007666445188987247,-0.013455241502145682,0.024895074933813485,0,adequate_analysis_sample
