analysis_type,horizon,momentum_window,regime,term,sample_size,event_count,mean,median,coefficient,standard_error,ci_lower,ci_upper,r_squared,sample_label,status
continuous_regression,1.0,SectorMomentum_1m,continuous,SectorMomentum_1m,226,226,,,-0.053683257027557545,0.024608292654779245,-0.10191462435194643,-0.0054518897031686706,0.04495372011444554,adequate_analysis_sample,estimated_confirmatory
continuous_regression,1.0,SectorMomentum_1m,continuous,SectorVolatility,226,226,,,0.02818793594391675,0.019817702277446426,-0.010654046776215651,0.06702991866404916,0.04495372011444554,adequate_analysis_sample,estimated_confirmatory
sign_based_regime_comparison,1.0,SectorMomentum_1m,weak_nonpositive,convergence,91,91,0.009125506387258816,0.006453954019788766,,,0.001493275020052298,0.016757737754465332,,adequate_analysis_sample,descriptive_regime_comparison
sign_based_regime_comparison,1.0,SectorMomentum_1m,strong_positive,convergence,135,135,0.0028825572902240653,-0.00037075874336160285,,,-0.0042470171640758446,0.010012131744523974,,adequate_analysis_sample,descriptive_regime_comparison
continuous_regression,1.0,SectorMomentum_3m,continuous,SectorMomentum_3m,226,226,,,-0.03529458204252553,0.015168428971354906,-0.06502415652843509,-0.005565007556615976,0.04498164972196039,adequate_analysis_sample,estimated_confirmatory
continuous_regression,1.0,SectorMomentum_3m,continuous,SectorVolatility,226,226,,,0.023584152894348252,0.022607766379500883,-0.020726254980368973,0.06789456076906547,0.04498164972196039,adequate_analysis_sample,estimated_confirmatory
sign_based_regime_comparison,1.0,SectorMomentum_3m,weak_nonpositive,convergence,67,67,0.010747706800582164,0.005153296061816841,,,0.0029602284401664732,0.018535185160997857,,adequate_analysis_sample,descriptive_regime_comparison
sign_based_regime_comparison,1.0,SectorMomentum_3m,strong_positive,convergence,159,159,0.0031413205017723034,0.0010848813349907376,,,-0.0035467369492723825,0.009829377952816989,,adequate_analysis_sample,descriptive_regime_comparison
continuous_regression,5.0,SectorMomentum_1m,continuous,SectorMomentum_1m,173,173,,,-0.03302793340608495,0.04728690678777765,-0.12570856765043176,0.059652700838261866,0.0206301725893564,adequate_analysis_sample,estimated_confirmatory
continuous_regression,5.0,SectorMomentum_1m,continuous,SectorVolatility,173,173,,,0.04276741130187227,0.038086516461820166,-0.031880789259887146,0.11741561186363168,0.0206301725893564,adequate_analysis_sample,estimated_confirmatory
sign_based_regime_comparison,5.0,SectorMomentum_1m,weak_nonpositive,convergence,73,73,0.009235208002201447,0.007638492497674284,,,-0.00300590644922542,0.021476322453628315,,adequate_analysis_sample,descriptive_regime_comparison
sign_based_regime_comparison,5.0,SectorMomentum_1m,strong_positive,convergence,100,100,-0.00023525635346669592,-0.004489884011872242,,,-0.010354709389050974,0.00988419668211758,,adequate_analysis_sample,descriptive_regime_comparison
continuous_regression,5.0,SectorMomentum_3m,continuous,SectorMomentum_3m,173,173,,,-0.03880936184551936,0.025525825378713618,-0.08883906026345653,0.011220336572417812,0.027432272142723813,adequate_analysis_sample,estimated_confirmatory
continuous_regression,5.0,SectorMomentum_3m,continuous,SectorVolatility,173,173,,,0.0276374654616297,0.04498231332356468,-0.060526248593853284,0.11580117951711269,0.027432272142723813,adequate_analysis_sample,estimated_confirmatory
sign_based_regime_comparison,5.0,SectorMomentum_3m,weak_nonpositive,convergence,57,57,0.008052820480637247,0.010163403292701326,,,-0.0060547794617819475,0.022160420423056444,,adequate_analysis_sample,descriptive_regime_comparison
sign_based_regime_comparison,5.0,SectorMomentum_3m,strong_positive,convergence,116,116,0.0016520153570492497,-0.003692500657157382,,,-0.007735112695431529,0.011039143409530027,,adequate_analysis_sample,descriptive_regime_comparison
continuous_regression,10.0,SectorMomentum_1m,continuous,SectorMomentum_1m,114,114,,,-0.10374144800923825,0.07049222827201848,-0.24190367661237067,0.034420780593894154,0.03872951354543086,adequate_analysis_sample,estimated_confirmatory
continuous_regression,10.0,SectorMomentum_1m,continuous,SectorVolatility,114,114,,,-0.04506078851496871,0.05592655913570726,-0.15467483020020448,0.06455325317026706,0.03872951354543086,adequate_analysis_sample,estimated_confirmatory
sign_based_regime_comparison,10.0,SectorMomentum_1m,weak_nonpositive,convergence,43,43,0.009197151980269264,0.003097622751192769,,,-0.009649151351015328,0.028043455311553854,,adequate_analysis_sample,descriptive_regime_comparison
sign_based_regime_comparison,10.0,SectorMomentum_1m,strong_positive,convergence,71,71,-0.007939464913806498,-0.006344232986843522,,,-0.027968209855164856,0.01208928002755186,,adequate_analysis_sample,descriptive_regime_comparison
continuous_regression,10.0,SectorMomentum_3m,continuous,SectorMomentum_3m,114,114,,,-0.02100774515450977,0.042820743003168155,-0.10493485923196487,0.06291936892294532,0.026697192548481574,adequate_analysis_sample,estimated_confirmatory
continuous_regression,10.0,SectorMomentum_3m,continuous,SectorVolatility,114,114,,,-0.03252420917939304,0.06083125456449286,-0.15175127726018683,0.08670285890140074,0.026697192548481574,adequate_analysis_sample,estimated_confirmatory
sign_based_regime_comparison,10.0,SectorMomentum_3m,weak_nonpositive,convergence,35,35,0.00506480882434453,-0.0069657603318186555,,,-0.015329577330945872,0.025459194979634933,,adequate_analysis_sample,descriptive_regime_comparison
sign_based_regime_comparison,10.0,SectorMomentum_3m,strong_positive,convergence,79,79,-0.00437332636178154,0.001638879737962156,,,-0.023089075836962097,0.01434242311339902,,adequate_analysis_sample,descriptive_regime_comparison
data_availability,,not_applicable,not_applicable,MarketVolatility,0,0,,,,,,,,small_sample_descriptive_only,unavailable_frozen_baseline_has_no_market_return_series
