model_specification,horizon,dependent_variable,sample_size,event_count,r_squared,adjusted_r_squared,covariance_estimator,sample_label,status,term,coefficient,standard_error,ci_lower,ci_upper,p_value_context_only
primary_linear,1,peer_car,226,226,0.044659846449966345,0.022947570232920156,HC3,adequate_analysis_sample,estimated_confirmatory,const,-0.006108631255903017,0.005496118516366165,-0.016880825602744415,0.004663563090938381,0.26637702302959276
primary_linear,1,peer_car,226,226,0.044659846449966345,0.022947570232920156,HC3,adequate_analysis_sample,estimated_confirmatory,EquipmentIndicator,0.0011138377241943554,0.002351764595981818,-0.003495536184046399,0.00572321163243511,0.6357724343597573
primary_linear,1,peer_car,226,226,0.044659846449966345,0.022947570232920156,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitude,0.001117201216450171,0.0010223289467519373,-0.0008865266995363929,0.003120929132436735,0.2744815600234697
primary_linear,1,peer_car,226,226,0.044659846449966345,0.022947570232920156,HC3,adequate_analysis_sample,estimated_confirmatory,SectorMomentum,-0.01946599002376101,0.012222337810491543,-0.043421331939206574,0.004489351891684555,0.11123719280469911
primary_linear,1,peer_car,226,226,0.044659846449966345,0.022947570232920156,HC3,adequate_analysis_sample,estimated_confirmatory,VolumeMeasure,-0.0053418755934095405,0.0036999467162726536,-0.01259363790202118,0.0019098867152020985,0.14880341549822704
primary_linear,1,peer_car,226,226,0.044659846449966345,0.022947570232920156,HC3,adequate_analysis_sample,estimated_confirmatory,EventDirection,0.004324979208322918,0.0024942385200422777,-0.000563638459812432,0.009213596876458268,0.08292024470835999
targeted_shock_quadratic,1,peer_car,226,226,0.05055040471000316,0.02453808703082505,HC3,adequate_analysis_sample,estimated_confirmatory,const,0.0010463906035029238,0.014342869361046335,-0.02706511677911091,0.029157897986116756,0.9418415623623227
targeted_shock_quadratic,1,peer_car,226,226,0.05055040471000316,0.02453808703082505,HC3,adequate_analysis_sample,estimated_confirmatory,EquipmentIndicator,0.001356722008975079,0.002445196149705975,-0.0034357743795846423,0.0061492183975348,0.5789958861764366
targeted_shock_quadratic,1,peer_car,226,226,0.05055040471000316,0.02453808703082505,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitude,-0.0012722002275953805,0.005351336616713314,-0.0117606272655039,0.009216226810313137,0.8120866042537006
targeted_shock_quadratic,1,peer_car,226,226,0.05055040471000316,0.02453808703082505,HC3,adequate_analysis_sample,estimated_confirmatory,SectorMomentum,-0.01716900010749293,0.01341473309984368,-0.0434613938454039,0.009123393630418038,0.20059385834979238
targeted_shock_quadratic,1,peer_car,226,226,0.05055040471000316,0.02453808703082505,HC3,adequate_analysis_sample,estimated_confirmatory,VolumeMeasure,-0.005362877625961574,0.003799506581476814,-0.012809773684679029,0.0020840184327558823,0.158107000492702
targeted_shock_quadratic,1,peer_car,226,226,0.05055040471000316,0.02453808703082505,HC3,adequate_analysis_sample,estimated_confirmatory,EventDirection,0.0046674906141076205,0.0028520893625812956,-0.0009225018172415184,0.01025748304545676,0.10173158569332238
targeted_shock_quadratic,1,peer_car,226,226,0.05055040471000316,0.02453808703082505,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitudeSquared,0.00015416393102238787,0.0003991310209668345,-0.0006281184951853089,0.0009364463572300847,0.6993123168282842
