dimension,label,event_count,event_share
total,all,242,1.0
year,2015,14,0.05785123966942149
year,2016,16,0.06611570247933884
year,2017,7,0.028925619834710745
year,2018,16,0.06611570247933884
year,2019,14,0.05785123966942149
year,2020,23,0.09504132231404959
year,2021,9,0.0371900826446281
year,2022,13,0.05371900826446281
year,2023,29,0.11983471074380166
year,2024,52,0.21487603305785125
year,2025,49,0.2024793388429752
month,2015-04,4,0.01652892561983471
month,2015-07,1,0.004132231404958678
month,2015-09,2,0.008264462809917356
month,2015-10,5,0.02066115702479339
month,2015-11,2,0.008264462809917356
month,2016-01,2,0.008264462809917356
month,2016-02,2,0.008264462809917356
month,2016-04,1,0.004132231404958678
month,2016-05,1,0.004132231404958678
month,2016-06,1,0.004132231404958678
month,2016-07,1,0.004132231404958678
month,2016-08,3,0.012396694214876033
month,2016-09,3,0.012396694214876033
month,2016-10,1,0.004132231404958678
month,2016-12,1,0.004132231404958678
month,2017-01,1,0.004132231404958678
month,2017-02,1,0.004132231404958678
month,2017-04,2,0.008264462809917356
month,2017-08,1,0.004132231404958678
month,2017-10,1,0.004132231404958678
month,2017-11,1,0.004132231404958678
month,2018-01,1,0.004132231404958678
month,2018-02,2,0.008264462809917356
month,2018-05,3,0.012396694214876033
month,2018-07,2,0.008264462809917356
month,2018-08,2,0.008264462809917356
month,2018-09,2,0.008264462809917356
month,2018-10,2,0.008264462809917356
month,2018-11,2,0.008264462809917356
month,2019-01,2,0.008264462809917356
month,2019-03,1,0.004132231404958678
month,2019-04,1,0.004132231404958678
month,2019-05,2,0.008264462809917356
month,2019-07,1,0.004132231404958678
month,2019-08,2,0.008264462809917356
month,2019-10,4,0.01652892561983471
month,2019-11,1,0.004132231404958678
month,2020-01,2,0.008264462809917356
month,2020-02,4,0.01652892561983471
month,2020-03,8,0.03305785123966942
month,2020-05,1,0.004132231404958678
month,2020-07,2,0.008264462809917356
month,2020-08,1,0.004132231404958678
month,2020-09,2,0.008264462809917356
month,2020-10,1,0.004132231404958678
month,2020-11,1,0.004132231404958678
month,2020-12,1,0.004132231404958678
month,2021-02,2,0.008264462809917356
month,2021-03,2,0.008264462809917356
month,2021-07,1,0.004132231404958678
month,2021-08,1,0.004132231404958678
month,2021-11,2,0.008264462809917356
month,2021-12,1,0.004132231404958678
month,2022-01,2,0.008264462809917356
month,2022-02,2,0.008264462809917356
month,2022-05,1,0.004132231404958678
month,2022-06,2,0.008264462809917356
month,2022-07,1,0.004132231404958678
month,2022-08,1,0.004132231404958678
month,2022-10,2,0.008264462809917356
month,2022-11,2,0.008264462809917356
month,2023-01,2,0.008264462809917356
month,2023-02,3,0.012396694214876033
month,2023-04,3,0.012396694214876033
month,2023-05,7,0.028925619834710745
month,2023-06,2,0.008264462809917356
month,2023-07,1,0.004132231404958678
month,2023-08,3,0.012396694214876033
month,2023-10,1,0.004132231404958678
month,2023-11,3,0.012396694214876033
month,2023-12,4,0.01652892561983471
month,2024-01,3,0.012396694214876033
month,2024-02,8,0.03305785123966942
month,2024-03,1,0.004132231404958678
month,2024-04,1,0.004132231404958678
month,2024-05,8,0.03305785123966942
month,2024-06,2,0.008264462809917356
month,2024-07,8,0.03305785123966942
month,2024-08,2,0.008264462809917356
month,2024-09,1,0.004132231404958678
month,2024-10,7,0.028925619834710745
month,2024-11,5,0.02066115702479339
month,2024-12,6,0.024793388429752067
month,2025-01,5,0.02066115702479339
month,2025-02,3,0.012396694214876033
month,2025-03,3,0.012396694214876033
month,2025-04,9,0.0371900826446281
month,2025-05,2,0.008264462809917356
month,2025-06,2,0.008264462809917356
month,2025-07,3,0.012396694214876033
month,2025-08,10,0.04132231404958678
month,2025-09,3,0.012396694214876033
month,2025-10,5,0.02066115702479339
month,2025-11,3,0.012396694214876033
month,2025-12,1,0.004132231404958678
company,6146.T,1,0.004132231404958678
company,ADI,6,0.024793388429752067
company,AMAT,18,0.0743801652892562
company,AMD,13,0.05371900826446281
company,ASML,12,0.049586776859504134
company,CRDO,9,0.0371900826446281
company,GFS,11,0.045454545454545456
company,IFX.DE,1,0.004132231404958678
company,KLAC,16,0.06611570247933884
company,LRCX,15,0.06198347107438017
company,MCHP,15,0.06198347107438017
company,MPWR,21,0.08677685950413223
company,MRVL,9,0.0371900826446281
company,NVDA,11,0.045454545454545456
company,NXPI,16,0.06611570247933884
company,ON,21,0.08677685950413223
company,STM,24,0.09917355371900827
company,TSEM,9,0.0371900826446281
company,TSM,4,0.01652892561983471
company,TXN,5,0.02066115702479339
company,UMC,5,0.02066115702479339
subsector,analog_mixed_signal,109,0.45041322314049587
subsector,fabless_compute,42,0.17355371900826447
subsector,foundry,29,0.11983471074380166
subsector,semiconductor_equipment,62,0.256198347107438
direction,negative,102,0.4214876033057851
direction,positive,140,0.5785123966942148
