subsector,horizon,outcome,event_count,sample_size,mean,median,standard_deviation,minimum,maximum,proportion_positive,ci_lower,ci_upper,confidence_level,sample_label
analog_mixed_signal,1,convergence,101,101,0.00222467684895695,0.0006389867163812818,0.02814454005682912,-0.07413163270612369,0.0814572924822734,0.5148514851485149,-0.003331408418142749,0.007780762116056649,0.95,adequate_descriptive_sample
analog_mixed_signal,1,peer_catchup,101,101,0.00010402989227343506,-0.00048318964810220577,0.010467297180060928,-0.02786811390261157,0.028877903863425525,0.4752475247524752,-0.001962345878339992,0.0021704056628868624,0.95,adequate_descriptive_sample
analog_mixed_signal,1,initiator_reversal,101,101,0.0021206469566835144,0.000842762053955802,0.029288533572410083,-0.06391210825043751,0.09781236160585928,0.504950495049505,-0.0036612769812469303,0.007902570894613959,0.95,adequate_descriptive_sample
analog_mixed_signal,3,convergence,83,83,0.0008174925336648856,-0.0014382027230415827,0.04252566239542474,-0.1663885100468658,0.10841607613622481,0.46987951807228917,-0.00846824437696952,0.010103229444299292,0.95,adequate_descriptive_sample
analog_mixed_signal,3,peer_catchup,83,83,-0.001140773282124526,-0.0024509179069956265,0.016275285061065473,-0.039837355014651556,0.05414372225098968,0.40963855421686746,-0.004694580717676476,0.002413034153427423,0.95,adequate_descriptive_sample
analog_mixed_signal,3,initiator_reversal,83,83,0.001958265815789412,-0.0015109478784155056,0.04194705309821195,-0.13880568802685173,0.12426142671787098,0.4939759036144578,-0.007201128237254535,0.01111765986883336,0.95,adequate_descriptive_sample
analog_mixed_signal,5,convergence,68,68,-0.0015103624441461865,-0.0006562835127958098,0.051672251021927254,-0.2336508793602154,0.11397303151507235,0.5,-0.01401771176721966,0.010996986878927287,0.95,adequate_descriptive_sample
analog_mixed_signal,5,peer_catchup,68,68,-0.0009850633201492621,-0.003315633865834653,0.02451329132141999,-0.07494924395049815,0.07169182280049535,0.38235294117647056,-0.006918543893410145,0.004948417253111622,0.95,adequate_descriptive_sample
analog_mixed_signal,5,initiator_reversal,68,68,-0.0005252991239969231,-0.006928335412664128,0.04785584141812811,-0.16894553988107724,0.1296872121775507,0.4411764705882353,-0.012108880522688846,0.011058282274694999,0.95,adequate_descriptive_sample
analog_mixed_signal,10,convergence,39,39,0.004298416620260203,0.0025873201400892516,0.06139145275168194,-0.1121528645148413,0.18812930917698334,0.5384615384615384,-0.01560239018487496,0.024199223425395367,0.95,adequate_descriptive_sample
analog_mixed_signal,10,peer_catchup,39,39,0.0012897824685690889,0.0015992482092123993,0.024552601292620005,-0.04536580405697656,0.05958614868344782,0.5384615384615384,-0.006669250148956908,0.009248815086095086,0.95,adequate_descriptive_sample
analog_mixed_signal,10,initiator_reversal,39,39,0.003008634151691115,0.001892563567077652,0.060291270737209295,-0.10808700723054257,0.18003325033900094,0.5128205128205128,-0.016535534901132434,0.022552803204514662,0.95,adequate_descriptive_sample
fabless_compute,1,convergence,38,38,0.012060426577247622,-0.0013177602140293314,0.06930043635030794,-0.06960648631058042,0.24884302986515722,0.47368421052631576,-0.010718060031535257,0.0348389131860305,0.95,adequate_descriptive_sample
fabless_compute,1,peer_catchup,38,38,0.003804693286636681,-0.0017611163537492995,0.035377428995317664,-0.07440643781490117,0.11881025074820399,0.47368421052631576,-0.007823578266366746,0.015432964839640108,0.95,adequate_descriptive_sample
fabless_compute,1,initiator_reversal,38,38,0.008255733290610941,0.0021211837601210724,0.06302601506949657,-0.06782585614942872,0.26805245177235193,0.5526315789473685,-0.012460402362683485,0.02897186894390537,0.95,adequate_descriptive_sample
fabless_compute,3,convergence,35,35,-0.0057607339572624825,-0.007652909741296731,0.06358926234076677,-0.11583315657440404,0.17822029095814879,0.42857142857142855,-0.02760440983410812,0.016082941919583156,0.95,adequate_descriptive_sample
fabless_compute,3,peer_catchup,35,35,-0.0004845709028089707,-0.004266948247082388,0.042078557979693225,-0.09327662465248283,0.08354193807285967,0.4,-0.014939061300069207,0.013969919494451267,0.95,adequate_descriptive_sample
fabless_compute,3,initiator_reversal,35,35,-0.005276163054453509,-0.016990403111321037,0.05782353798998761,-0.1398658150796836,0.19937508593014344,0.37142857142857144,-0.025139243320066305,0.01458691721115929,0.95,adequate_descriptive_sample
fabless_compute,5,convergence,34,34,0.010230529453685145,0.0007690694875542138,0.07384365804284328,-0.11613156622040643,0.19803988066955328,0.5,-0.015534740885896072,0.035995799793266364,0.95,adequate_descriptive_sample
fabless_compute,5,peer_catchup,34,34,0.0008067334199609015,0.0011495778875284662,0.04128359315487231,-0.07414569971007443,0.12306048310905286,0.5588235294117647,-0.013597793203130178,0.015211260043051981,0.95,adequate_descriptive_sample
fabless_compute,5,initiator_reversal,34,34,0.009423796033724244,0.007535989182785927,0.05134465773136641,-0.08197822099084205,0.15365036417662772,0.5882352941176471,-0.008491201976997095,0.027338794044445582,0.95,adequate_descriptive_sample
fabless_compute,10,convergence,30,30,-0.020600921785267505,-0.017575464667741722,0.11459919937191562,-0.20488289526286432,0.25834323966050765,0.4,-0.0633929660983058,0.022191122527770793,0.95,adequate_descriptive_sample
fabless_compute,10,peer_catchup,30,30,-0.0019447841547602092,0.0015185617335012553,0.06112416884145084,-0.14098583822781313,0.16258048099614683,0.5333333333333333,-0.0247689239043962,0.02087935559487578,0.95,adequate_descriptive_sample
fabless_compute,10,initiator_reversal,30,30,-0.018656137630507295,-0.026252041775152314,0.07567765229931131,-0.14733987455664974,0.1976871724138212,0.3333333333333333,-0.046914637414515875,0.009602362153501288,0.95,adequate_descriptive_sample
foundry,1,convergence,29,29,-0.0041757612292525345,-0.0014570889046320312,0.04550004880643249,-0.11904788802955217,0.13311987358055621,0.4827586206896552,-0.02148305418408459,0.013131531725579522,0.95,small_sample_descriptive_only
foundry,1,peer_catchup,29,29,-0.003822121726214224,-0.0034998024232953187,0.014142438769792265,-0.03132455713225173,0.0269116200285517,0.3793103448275862,-0.009201617733479293,0.0015573742810508456,0.95,small_sample_descriptive_only
foundry,1,initiator_reversal,29,29,-0.00035363950303830816,0.007749757883786007,0.044350049997718785,-0.10321230645005977,0.13661967600385153,0.5517241379310345,-0.017223496305553487,0.01651621729947687,0.95,small_sample_descriptive_only
foundry,3,convergence,26,26,0.006180170215680652,0.016344867223145945,0.04268991345231439,-0.09320384972320529,0.08478209644285103,0.6538461538461539,-0.011062658985965871,0.023422999417327176,0.95,small_sample_descriptive_only
foundry,3,peer_catchup,26,26,-0.00039968136216826026,0.00016307824641389112,0.023132710411866948,-0.0519845045457088,0.03725669607418067,0.5,-0.009743185303644333,0.008943822579307814,0.95,small_sample_descriptive_only
foundry,3,initiator_reversal,26,26,0.006579851577848911,0.019575119688723767,0.04334580037746106,-0.09948716760816081,0.08745624327052728,0.6538461538461539,-0.010927896086059895,0.02408759924175772,0.95,small_sample_descriptive_only
foundry,5,convergence,24,24,0.010761396768522972,0.007330186702833268,0.047495389376745925,-0.09812486183493763,0.1007730815787872,0.5416666666666666,-0.009294147244979447,0.03081694078202539,0.95,small_sample_descriptive_only
foundry,5,peer_catchup,24,24,0.0016337457949484955,-0.00357912071779193,0.029055709349351803,-0.03915814552139558,0.048782427396062616,0.375,-0.010635404228796053,0.013902895818693042,0.95,small_sample_descriptive_only
foundry,5,initiator_reversal,24,24,0.009127650973574477,0.000996842217427801,0.05511102015331371,-0.12566750315555958,0.12217099792162955,0.5416666666666666,-0.014143691883443043,0.032398993830592,0.95,small_sample_descriptive_only
foundry,10,convergence,23,23,0.011556753922100373,0.002596953024005609,0.061121043927837716,-0.09893844131701195,0.13824330788993405,0.5217391304347826,-0.01487396748000675,0.037987475324207494,0.95,small_sample_descriptive_only
foundry,10,peer_catchup,23,23,0.002226903518613012,-0.003938900122006355,0.045097147285611386,-0.07085017442915799,0.08319114582489384,0.4782608695652174,-0.017274565359161012,0.021728372396387037,0.95,small_sample_descriptive_only
foundry,10,initiator_reversal,23,23,0.00932985040348736,0.01704406714743907,0.058798949912899065,-0.09499954119500559,0.13693729010891878,0.6086956521739131,-0.016096722246664454,0.03475642305363918,0.95,small_sample_descriptive_only
semiconductor_equipment,1,convergence,58,58,0.011339221023949365,0.00988107653569208,0.025053120177844976,-0.023036294227012845,0.11237059591464874,0.6551724137931034,0.004751838875579776,0.017926603172318954,0.95,adequate_descriptive_sample
semiconductor_equipment,1,peer_catchup,58,58,0.0094268968315233,0.00875023652810569,0.013324548132090563,-0.010883454768005793,0.04348219463140599,0.6896551724137931,0.005923385497312518,0.012930408165734084,0.95,adequate_descriptive_sample
semiconductor_equipment,1,initiator_reversal,58,58,0.0019123241924260614,0.0025580787799749246,0.020835407049332785,-0.05662344443021232,0.07829147336272763,0.5689655172413793,-0.003566066821407121,0.007390715206259243,0.95,adequate_descriptive_sample
semiconductor_equipment,3,convergence,52,52,0.007246517884377885,0.0051300772849330045,0.0348545215527714,-0.10163083282600582,0.12282824254255639,0.5769230769230769,-0.00245704288143908,0.01695007865019485,0.95,adequate_descriptive_sample
semiconductor_equipment,3,peer_catchup,52,52,0.008991651844467461,0.008131116373850833,0.014236802057450076,-0.017290733942002843,0.042587123905189865,0.6923076923076923,0.005028100841014073,0.012955202847920849,0.95,adequate_descriptive_sample
semiconductor_equipment,3,initiator_reversal,52,52,-0.001745133960089578,-0.002154878122756049,0.0310274591555581,-0.09328727266854092,0.0991062205045124,0.46153846153846156,-0.010383233750643792,0.0068929658304646355,0.95,adequate_descriptive_sample
semiconductor_equipment,5,convergence,47,47,0.0031327164073644788,0.0037228632557853164,0.031012884059178458,-0.06835159900172719,0.08780826110689009,0.5319148936170213,-0.005973007476226017,0.012238440290954975,0.95,adequate_descriptive_sample
semiconductor_equipment,5,peer_catchup,47,47,0.008019224082550763,0.01096323573613742,0.01784151177541675,-0.02710709683341101,0.04161045674267329,0.6170212765957447,0.0027807599789617804,0.013257688186139746,0.95,adequate_descriptive_sample
semiconductor_equipment,5,initiator_reversal,47,47,-0.004886507675186282,-0.0009648813533239854,0.03108998548813662,-0.0847868273207146,0.0912594910092651,0.48936170212765956,-0.014014869386390088,0.004241854036017524,0.95,adequate_descriptive_sample
semiconductor_equipment,10,convergence,22,22,0.0007436177923129859,-0.007444847005528333,0.04579064618936394,-0.10435437905117231,0.08222604543947037,0.45454545454545453,-0.019558817354291762,0.02104605293891773,0.95,small_sample_descriptive_only
semiconductor_equipment,10,peer_catchup,22,22,0.011753715837552931,0.012198810008535316,0.01773227147446164,-0.02765379504639947,0.043933692339968966,0.8181818181818182,0.0038916671098835672,0.019615764565222293,0.95,small_sample_descriptive_only
semiconductor_equipment,10,initiator_reversal,22,22,-0.011010098045239948,-0.010923347988257223,0.04348236263409824,-0.1055356829695777,0.055834411639137306,0.45454545454545453,-0.030289097597881807,0.008268901507401913,0.95,small_sample_descriptive_only
