variation_type,specification,horizon,outcome,event_count,sample_size,mean,median,ci_lower,ci_upper,sample_label,status,notes
event_threshold,2_sigma,1,convergence,319,319,0.0053041145891237155,0.002901446144677168,0.0009962006895580565,0.009612028488689375,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,1,peer_catchup,319,319,0.001255684885343671,-0.0004224951687627188,-0.0007685197009077223,0.0032798894715950645,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,1,initiator_reversal,319,319,0.004048429703780044,0.0037291241689515753,0.00011565541036627231,0.007981203997193816,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,3,convergence,274,274,0.007305008972209794,0.005124629288090179,0.0015976553211033825,0.013012362623316207,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,3,peer_catchup,274,274,0.002566393995663501,5.604720778089583e-05,-0.0003179016226629327,0.005450689613989935,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,3,initiator_reversal,274,274,0.004738614976546292,0.0018117510069299448,-0.0006094330758248511,0.010086663028917435,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,5,convergence,243,243,0.00880281441112493,0.006929012452211635,0.0017415846903001434,0.015864044131949716,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,5,peer_catchup,243,243,0.0028992064489864197,-0.0010076438201344993,-0.0007540823341490714,0.00655249523212191,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,5,initiator_reversal,243,243,0.005903607962138509,0.0032078923252437004,-0.0007097196296700367,0.012516935553947055,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,10,convergence,161,161,0.007004750300343994,0.001638879737962156,-0.00618391088104056,0.020193411481728547,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,10,peer_catchup,161,161,0.0020325503948493335,0.0030983643452106926,-0.004229413550920481,0.008294514340619149,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,10,initiator_reversal,161,161,0.004972199905494661,3.636055764375326e-06,-0.007310343372717133,0.017254743183706456,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,20,convergence,47,47,0.012395221229449454,0.040664460551904806,-0.02481578628679546,0.04960622874569437,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,20,peer_catchup,47,47,-0.0015333984036120492,0.0011174048294891725,-0.020792974016167007,0.01772617720894291,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2_sigma,20,initiator_reversal,47,47,0.013928619633061506,0.033539360838869554,-0.017706945709644147,0.045564184975767155,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,1,convergence,282,282,0.005755717397724138,0.002442522587469475,0.0010885966109366353,0.01042283818451164,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,1,peer_catchup,282,282,0.002031989585957855,1.0938782784622545e-05,-0.0001175237163834708,0.004181502888299181,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,1,initiator_reversal,282,282,0.0037237278117662827,0.002964702593180121,-0.000551173592315496,0.007998629215848062,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,3,convergence,240,240,0.004696125808036477,0.0014256691412773415,-0.0013620339508078044,0.010754285566880758,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,3,peer_catchup,240,240,0.002211865993968437,-0.00046068902258519697,-0.000929328978926074,0.005353060966862948,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,3,initiator_reversal,240,240,0.002484259814068041,0.0004927770588939832,-0.003234048484159278,0.00820256811229536,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,5,convergence,214,214,0.006871854236521759,0.004698721358707435,-0.00031064207644558844,0.014054350549489107,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,5,peer_catchup,214,214,0.0020195511861282565,-0.0009612357595782032,-0.0018338706185369504,0.0058729729907934635,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,5,initiator_reversal,214,214,0.004852303050393502,0.0036258816225806624,-0.0016368353228464715,0.011341441423633476,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,10,convergence,141,141,0.0017152587697316897,-0.004406542127536606,-0.011226697361994442,0.014657214901457823,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,10,peer_catchup,141,141,-0.0001522091537816319,0.0018910239622698041,-0.0068343754695045,0.006529957161941236,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,10,initiator_reversal,141,141,0.0018674679235133188,-0.00020465866220032922,-0.009526233299911101,0.01326116914693774,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,20,convergence,37,37,0.0035356124579876465,0.040664460551904806,-0.03516601138297831,0.04223723629895361,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,20,peer_catchup,37,37,-0.017709574305066075,-0.010518889674788173,-0.037116513299907644,0.001697364689775497,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,2.5_sigma,20,initiator_reversal,37,37,0.02124518676305372,0.033539360838869554,-0.007545917993458492,0.05003629151956593,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
event_threshold,3_sigma,1,convergence,226,226,0.0053963111301805365,0.002442522587469475,0.0001672700765492762,0.010625352183811797,adequate_descriptive_sample,estimated_exploratory,minimum absolute move remains 5%; all other rules frozen
