horizon,return_specification,peer_definition,method,method_label,outcome,mean,ci_lower,ci_upper,sample_size,experiment_iterations,observed_statistic,observed_sample_size,null_mean,null_standard_deviation,null_iterations,empirical_p_value,percentile_location,alternative
1,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,convergence,-0.0001216798271404,-0.0024224988321744,0.0021327119385408,177,500,0.0053963111301805,226,-0.0001216798271404,0.0012163297914867,500,0.0019960079840319,100.0,greater
1,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,convergence,0.0053963111301805,-0.0010022738416903,0.0119145835642128,226,1000,0.0053963111301805,226,-0.0001216798271404,0.0012163297914867,500,0.0019960079840319,100.0,greater
1,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,convergence,-7.608035882303784e-05,-0.0023984918306817,0.0024250862775629,224,200,0.0053963111301805,226,-0.0001216798271404,0.0012163297914867,500,0.0019960079840319,100.0,greater
1,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,convergence,0.0029375415045606,0.001332959258864,0.0045927880334399,224,200,0.0053963111301805,226,-0.0001216798271404,0.0012163297914867,500,0.0019960079840319,100.0,greater
1,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,initiator_reversal,-0.0001330442036084,-0.0026197061421163,0.0025845538858703,177,500,0.0027812498461984,226,-0.0001330442036084,0.0013322923152284,500,0.0179640718562874,98.4,greater
1,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,initiator_reversal,0.0027812498461984,-0.0030727850106294,0.0086685083496424,226,1000,0.0027812498461984,226,-0.0001330442036084,0.0013322923152284,500,0.0179640718562874,98.4,greater
1,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,initiator_reversal,-6.825478964999555e-05,-0.0026029447965127,0.002419736152831,224,200,0.0027812498461984,226,-0.0001330442036084,0.0013322923152284,500,0.0179640718562874,98.4,greater
1,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,initiator_reversal,0.0028730802261834,0.0025353574947448,0.003249865136345,224,200,0.0027812498461984,226,-0.0001330442036084,0.0013322923152284,500,0.0179640718562874,98.4,greater
1,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,peer_catchup,1.1364376467986085e-05,-0.001309556981977,0.0013086878994732,177,500,0.002615061283982,226,1.1364376467986085e-05,0.0006894611751039,500,0.0019960079840319,100.0,greater
1,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,peer_catchup,0.002615061283982,0.0001264407333805,0.005454588112283,226,1000,0.002615061283982,226,1.1364376467986085e-05,0.0006894611751039,500,0.0019960079840319,100.0,greater
1,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,peer_catchup,-7.825569173042282e-06,-0.0013019194345806,0.0012821253962805,224,200,0.002615061283982,226,1.1364376467986085e-05,0.0006894611751039,500,0.0019960079840319,100.0,greater
1,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,peer_catchup,6.446127837720987e-05,-0.0014675800182129,0.0016250042437363,224,200,0.002615061283982,226,1.1364376467986085e-05,0.0006894611751039,500,0.0019960079840319,100.0,greater
3,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,convergence,-0.0004408302483237,-0.0058388792829656,0.0052391236150259,121,500,0.002059844629517,196,-0.0004408302483237,0.0028157734225407,500,0.1756487025948103,82.6,greater
3,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,convergence,0.002059844629517,-0.0039527111109556,0.008820181747792,196,1000,0.002059844629517,196,-0.0004408302483237,0.0028157734225407,500,0.1756487025948103,82.6,greater
3,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,convergence,-0.0001081207855759,-0.0036655887809006,0.0038551790529141,193,200,0.002059844629517,196,-0.0004408302483237,0.0028157734225407,500,0.1756487025948103,82.6,greater
3,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,convergence,0.0001901409988177,-0.0025505275190873,0.0026934441153247,196,200,0.002059844629517,196,-0.0004408302483237,0.0028157734225407,500,0.1756487025948103,82.6,greater
3,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,initiator_reversal,-0.0004626527896058,-0.0059847331137418,0.005850630356792,121,500,0.0002969363821635,196,-0.0004626527896058,0.0029233576411741,500,0.3832335329341317,61.8,greater
3,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,initiator_reversal,0.0002969363821635,-0.0054902264475506,0.0059266447543772,196,1000,0.0002969363821635,196,-0.0004626527896058,0.0029233576411741,500,0.3832335329341317,61.8,greater
3,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,initiator_reversal,-6.708892649434875e-05,-0.0038862007213854,0.0037068269995218,193,200,0.0002969363821635,196,-0.0004626527896058,0.0029233576411741,500,0.3832335329341317,61.8,greater
3,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,initiator_reversal,0.0002928281407632,-0.0008313143784069,0.0013136975877357,196,200,0.0002969363821635,196,-0.0004626527896058,0.0029233576411741,500,0.3832335329341317,61.8,greater
3,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,peer_catchup,2.182254128217953e-05,-0.0026823735790032,0.002403168484906,121,500,0.0017629082473534,196,2.182254128217953e-05,0.0013609251424613,500,0.0898203592814371,91.2,greater
3,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,peer_catchup,0.0017629082473534,-0.0013172594550654,0.0058056741987416,196,1000,0.0017629082473534,196,2.182254128217953e-05,0.0013609251424613,500,0.0898203592814371,91.2,greater
3,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,peer_catchup,-4.103185908162513e-05,-0.002423953790758,0.002279107821853,193,200,0.0017629082473534,196,2.182254128217953e-05,0.0013609251424613,500,0.0898203592814371,91.2,greater
3,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,peer_catchup,-0.0001026871419454,-0.0026820139662996,0.0022298216879693,196,200,0.0017629082473534,196,2.182254128217953e-05,0.0013609251424613,500,0.0898203592814371,91.2,greater
5,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,convergence,-0.000766068625774,-0.0086108659569867,0.0074724029732813,82,500,0.003760951149214,173,-0.000766068625774,0.0040820024552477,500,0.1297405189620758,87.2,greater
5,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,convergence,0.003760951149214,-0.0028748240761977,0.0096211503763151,173,1000,0.003760951149214,173,-0.000766068625774,0.0040820024552477,500,0.1297405189620758,87.2,greater
5,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,convergence,-0.000337507777776,-0.0059456923127147,0.0048530579904337,165,200,0.003760951149214,173,-0.000766068625774,0.0040820024552477,500,0.1297405189620758,87.2,greater
