null_iteration,horizon,return_specification,peer_definition,outcome,statistic,sample_size,detected_event_count
0,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.00018750601606412897,191,223
0,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.00012474833705399145,191,223
0,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0003122543531181198,191,223
0,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.005387329795997758,142,223
0,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.00010472600083304961,142,223
0,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0052826037951647095,142,223
0,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0026122345209673914,87,223
0,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.003988999576955095,87,223
0,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0013767650559877035,87,223
0,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0002647620648623295,34,223
0,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.00034386512481067476,34,223
0,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0006086271896730063,34,223
1,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0013934545239496837,185,233
1,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.00042184384466204705,185,233
1,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0009716106792876366,185,233
1,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0033236568881226856,132,233
1,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.000286917286491308,132,233
1,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.003036739601631377,132,233
1,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0020843910411350516,89,233
1,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0012453750371026519,89,233
1,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0008390160040323991,89,233
1,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.004151482566041141,41,233
1,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.002025488177110683,41,233
1,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0061769707431518295,41,233
2,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0023458915413514234,174,215
2,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0007669045575328662,174,215
2,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0015789869838185569,174,215
2,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.005889103927948356,109,215
2,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.001321851056576442,109,215
2,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.004567252871371914,109,215
2,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.008264039976037271,80,215
2,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.002443924668417891,80,215
2,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.00582011530761938,80,215
2,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.021806996791696585,32,215
2,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.008097732190494356,32,215
2,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.013709264601202227,32,215
3,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0009903138606021792,180,217
3,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,4.960374172405102e-05,180,217
3,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0010399176023262297,180,217
3,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0014812783950788823,110,217
3,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0008061719757974445,110,217
3,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0022874503708763274,110,217
3,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0028096506232645002,76,217
3,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.00029232732795872706,76,217
3,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.002517323295305774,76,217
3,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.006707562074664363,35,217
3,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0012835662138711902,35,217
3,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.005423995860793172,35,217
4,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0009826680284929627,189,237
4,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0008130290624675985,189,237
4,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0017956970909605609,189,237
4,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.002667791592185927,126,237
4,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.00014940559975901415,126,237
4,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0028171971919449426,126,237
4,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.004507988631878058,83,237
4,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0032938006638513913,83,237
4,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.007801789295729449,83,237
4,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.019860509097988574,25,237
4,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0037491658903551837,25,237
4,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.02360967498834376,25,237
5,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.000369774233997536,156,200
5,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,4.457175970488662e-05,156,200
5,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0003252024742926488,156,200
5,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.002583628506929363,103,200
5,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0035778667407341765,103,200
5,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.00616149524766354,103,200
5,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.004645802974381784,64,200
5,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.007474543439216627,64,200
5,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.012120346413598411,64,200
5,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.00891882488954713,22,200
5,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.013292733317440929,22,200
5,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.022211558206988058,22,200
6,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0010801447947781575,178,208
6,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0001432994849814352,178,208
6,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.001223444279759593,178,208
6,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0002508191795743248,127,208
6,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0012290843646897984,127,208
6,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0009782651851154725,127,208
6,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.00518854378856325,87,208
6,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.002673339946502494,87,208
6,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0025152038420607546,87,208
6,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.01428435620415889,34,208
6,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.007337948598127265,34,208
6,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.006946407606031626,34,208
7,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.00045384593651318474,178,207
7,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0007315597300563735,178,207
7,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.00027771379354318853,178,207
7,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.00025030269474557703,129,207
7,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0012258266345103134,129,207
7,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0009755239397647365,129,207
7,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0006388081070055751,89,207
7,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0025561764402392325,89,207
7,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0019173683332336564,89,207
7,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.004489890155759553,30,207
7,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0022538338058520147,30,207
7,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.006743723961611569,30,207
8,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0016610478966316488,184,216
8,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0009614430707344017,184,216
8,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0006996048258972474,184,216
8,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.002341329923564714,117,216
8,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.002613824039443451,117,216
8,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.000272494115878737,117,216
8,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0017084805371429198,80,216
8,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0012412105433882053,80,216
8,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0004672699937547143,80,216
8,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.00814339574391223,34,216
8,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0001965570708087778,34,216
8,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.007946838673103456,34,216
9,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.000710639087210955,207,240
9,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0003482550169879883,207,240
9,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0003623840702229668,207,240
9,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0016292051533013004,164,240
9,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0003300834357770879,164,240
9,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0012991217175242127,164,240
9,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,3.680631851024686e-05,117,240
9,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0007421117703616952,117,240
9,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0007789180888719412,117,240
9,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.003744492382805086,48,240
9,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0028660313664072893,48,240
9,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.006610523749212376,48,240
10,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0008332655640119614,165,213
10,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0005224763643696659,165,213
10,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.00031078919964229565,165,213
10,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0004811042789195466,111,213
10,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0002782979707726323,111,213
10,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0007594022496921786,111,213
10,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.00108531880433861,73,213
10,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.003813885952503358,73,213
10,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0048992047568419675,73,213
10,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.003958846944202264,31,213
10,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0049886489477803,31,213
10,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0010298020035780348,31,213
11,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0013792996929144956,150,191
11,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-5.007475244650924e-05,150,191
11,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0013292249404679864,150,191
11,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.002289647387800683,110,191
11,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0010182884183551788,110,191
11,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0033079358061558614,110,191
11,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.005856275789544964,70,191
11,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.005719314588048303,70,191
11,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.011575590377593268,70,191
11,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.006918101897277768,22,191
11,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.009120739462887162,22,191
11,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.016038841360164927,22,191
12,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.00024024321781234394,170,216
12,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.00031945688943972307,170,216
12,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0005597001072520668,170,216
12,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.004181025741399953,107,216
12,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.001542867061082117,107,216
12,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.002638158680317835,107,216
12,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0007730221912326254,70,216
12,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.002788984982276731,70,216
12,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.003562007173509355,70,216
12,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.025612384303864505,17,216
12,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.001501189471756419,17,216
12,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.02711357377562093,17,216
13,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0007083235827334284,178,223
13,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0015182889366280351,178,223
