bootstrap_method,horizon,return_specification,peer_definition,outcome,bootstrap_mean,ci_lower,ci_upper,iterations,average_sample_size
date,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.005239914626211836,-0.0005398102251327274,0.01188265545315803,2000,225.9145
date,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0026428778375199016,-0.0027749563059618664,0.008568539427278631,2000,225.9145
date,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0025970367886919343,0.0006059918299428598,0.0047157928215117665,2000,225.9145
date,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0020208960884438064,-0.004687074684281454,0.008679659516600755,2000,195.88
date,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0002447980824532375,-0.0053741011880405,0.00617887202807052,2000,195.88
date,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0017760980059905692,-0.0012149817123196804,0.005463435547627129,2000,195.88
date,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0036532254410313572,-0.004332401930654855,0.012561138723935128,2000,172.696
date,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0014701775198856365,-0.004548463196412503,0.007882031293638765,2000,172.696
date,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.002183047921145721,-0.002127442708995265,0.007209412911255245,2000,172.696
date,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.001324310552304721,-0.014659371118778587,0.012104873273918449,2000,114.195
date,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.004057108619254505,-0.013103744526169846,0.004816662114658064,2000,114.195
date,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0027327980669497845,-0.004383859620603664,0.010369145884643096,2000,114.195
event,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.005380423513014454,0.00031375863079926664,0.010826806433137937,2000,226.0
event,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.00277288390427488,-0.002021709320328855,0.008025287401115737,2000,226.0
event,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0026075396087395747,0.0002796811271276645,0.005035623849097206,2000,226.0
event,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.002112966212935829,-0.004197565541317541,0.008348742068777618,2000,196.0
event,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0003648625062607936,-0.005616330446426228,0.006112723072322598,2000,196.0
event,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0017481037066750357,-0.0014064460827193034,0.005151450393559847,2000,196.0
event,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0036775066627818707,-0.003952210490900319,0.011480937517328128,2000,173.0
event,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0015422758679300647,-0.005143935439492166,0.008256104305462853,2000,173.0
event,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.002135230794851806,-0.0021139020662782984,0.006470323427119266,2000,173.0
event,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0013944347685652947,-0.015071280161735694,0.012758533019911618,2000,114.0
event,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.004191078685423889,-0.015455715028479205,0.007192747239911066,2000,114.0
event,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0027966439168585935,-0.004403292093464917,0.009909143886837194,2000,114.0
firm,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.00546067337442083,-0.0008154007386910173,0.01221730195955033,2000,225.948
firm,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0028180899216499545,-0.0028328567340415154,0.008961530251094661,2000,225.948
firm,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0026425834527708763,1.8284885330550126e-05,0.005363341438872967,2000,225.948
firm,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.002198403537438953,-0.0041805012838153485,0.00940120217412241,2000,196.0555
firm,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0004161526426356747,-0.005295078282973357,0.006166283388626068,2000,196.0555
firm,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0017822508948032785,-0.0017914054188127688,0.005484012382669842,2000,196.0555
firm,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.003933073120800112,-0.00228349894318404,0.009801431481544401,2000,172.762
firm,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0017365721209547575,-0.004885256210855244,0.009283407336449981,2000,172.762
firm,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0021965009998453546,-0.001837486785306135,0.0057612575501536575,2000,172.762
firm,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0014178932865796853,-0.013192371966892687,0.011629256558564808,2000,114.0385
firm,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.00399407887667151,-0.012415840877929425,0.004254211539878638,2000,114.0385
firm,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.002576185590091825,-0.005440251131710964,0.01107071910434722,2000,114.0385
