analysis,group,horizon,outcome,event_count,sample_size,mean,ci_lower,ci_upper,contribution_to_full_sample_mean,event_share
time_period,early_2015_2018,1,peer_catchup,50,50,0.0016701100187030804,-0.0001323973794266273,0.003472617416832788,,
time_period,early_2015_2018,1,initiator_reversal,50,50,0.005029498660129044,-0.0011557533102972842,0.01121475063055537,,
time_period,early_2015_2018,1,convergence,50,50,0.006699608678832124,0.00042289620710542295,0.012976321150558825,,
time_period,early_2015_2018,3,peer_catchup,42,42,0.0011834209005810897,-0.002301375262692057,0.004668217063854236,,
time_period,early_2015_2018,3,initiator_reversal,42,42,0.004166789223012467,-0.006043024746401865,0.014376603192426798,,
time_period,early_2015_2018,3,convergence,42,42,0.005350210123593556,-0.004729248953398609,0.015429669200585722,,
time_period,early_2015_2018,5,peer_catchup,38,38,5.234728766901659e-05,-0.00575882454627989,0.005863519121617923,,
time_period,early_2015_2018,5,initiator_reversal,38,38,-0.003316461713798958,-0.015445673803212226,0.008812750375614312,,
time_period,early_2015_2018,5,convergence,38,38,-0.0032641144261299406,-0.014968070553829671,0.00843984170156979,,
time_period,early_2015_2018,10,peer_catchup,23,23,0.0006348449163965745,-0.006430174859596256,0.007699864692389405,,
time_period,early_2015_2018,10,initiator_reversal,23,23,0.008815118597963974,-0.014370849550530394,0.03200108674645834,,
time_period,early_2015_2018,10,convergence,23,23,0.009449963514360553,-0.011799634174532354,0.03069956120325346,,
time_period,middle_2019_2021,1,peer_catchup,43,43,0.002976821696389476,-0.00031825899972471846,0.006271902392503671,,
time_period,middle_2019_2021,1,initiator_reversal,43,43,0.0049627149820102995,-0.002569673204536514,0.012495103168557113,,
time_period,middle_2019_2021,1,convergence,43,43,0.007939536678399776,-0.0012988531148267913,0.017177926471626345,,
time_period,middle_2019_2021,3,peer_catchup,39,39,-0.000309130106588436,-0.004531751356020964,0.0039134911428440914,,
time_period,middle_2019_2021,3,initiator_reversal,39,39,0.0033863608846628193,-0.010693164005535383,0.017465885774861023,,
time_period,middle_2019_2021,3,convergence,39,39,0.003077230778074383,-0.012893617163353226,0.019048078719501992,,
time_period,middle_2019_2021,5,peer_catchup,29,29,-0.0035151928138541467,-0.010696979833779818,0.003666594206071524,,
time_period,middle_2019_2021,5,initiator_reversal,29,29,0.0040499900562788425,-0.016110619718557734,0.02421059983111542,,
time_period,middle_2019_2021,5,convergence,29,29,0.0005347972424246969,-0.021742116741056156,0.022811711225905553,,
time_period,middle_2019_2021,10,peer_catchup,16,16,-0.00025384436523012525,-0.01146492858249029,0.010957239852030039,,
time_period,middle_2019_2021,10,initiator_reversal,16,16,0.005397122674054119,-0.02425406315979055,0.03504830850789879,,
time_period,middle_2019_2021,10,convergence,16,16,0.005143278308823994,-0.02289717108053218,0.03318372769818017,,
time_period,recent_2022_2025,1,peer_catchup,133,133,0.0028533459872184083,-0.0011169207799535895,0.006823612754390406,,
time_period,recent_2022_2025,1,initiator_reversal,133,133,0.001230757804571099,-0.0064536196600365955,0.008915135269178793,,
time_period,recent_2022_2025,1,convergence,133,133,0.004084103791789508,-0.004034366920895838,0.012202574504474853,,
